name,job,phone,email,country, salary 
ÏÇåí ÇáÚáíÇä,Web designer,801.583.1813x663,ljflymys@gmail.com,Oman," 2,260,441.00 Ï.Ú.ş "
ÈåíÉ Âá ãŞØÉ,Animator,402.463.3190x3091,vbw-dwwd@yahoo.com,Peru," 11,639,308.00 Ï.Ú.ş "
ÃÑíÌ ÇáÍÌÇÑ,Food technologist,970-273-1861x2700,rjh31@hotmail.com,Holy See (Vatican City State)," 9,971,067.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÑÇæí ÇáãÔÇæáÉ,Secondary school teacher,(461)794-2900x1493,jal-lshykh@yahoo.com,Honduras," 6,868,178.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÈÏÑÇáÏøÌì Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,"Teacher, secondary school",308-656-4087x123,al-wdrfn@gmail.com,Jamaica," 14,697,708.00 Ï.Ú.ş "
ßÇÓÑ Âá ÇáÚÓßÑí,Arts administrator,(980)997-3761x850,zhyr38@gmail.com,Holy See (Vatican City State)," 13,143,192.00 Ï.Ú.ş "
ÇáÏßÊæÑ äÈíå Âá ÕİæÇä,Teaching laboratory technician,597-308-5670,lb-lkhyl@gmail.com,Equatorial Guinea," 12,448,973.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÌæáíÇ Âá ÇáÔíÎ,"Exhibitions officer, museum/gallery",+1-457-276-6183x79132,hmydal-mqt@yahoo.com,Togo," 12,028,986.00 Ï.Ú.ş "
ÇáÓíÏÉ Ûæì ßÇäæ,Chiropractor,001-333-274-6014x961,yqwb86@hotmail.com,Estonia," 12,469,397.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ĞÑíÚ ßÇäæ,Risk manager,(700)308-0885x944,ywnslmshwl@yahoo.com,Martinique," 6,282,221.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÓÈÃ Âá Èä ÙÇİÑ,Artist,246-450-3728,hnbwlyfrhn@hotmail.com,Honduras," 6,661,289.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÕÈÇÍ ÍäÈæáí,"Journalist, magazine",(403)768-4124,dy-ldwynal-jfr@hotmail.com,Bolivia," 9,972,256.00 Ï.Ú.ş "
ÎÇÔÚÉ ÔÑÈÊáí,"Designer, graphic",+1-960-770-4279x5220,al-hsynmuslh@gmail.com,Croatia," 9,921,445.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÃİÑÇÍ Âá ÚØİÉ,General practice doctor,9486418191,llshy@gmail.com,India," 14,374,230.00 Ï.Ú.ş "
Íáíã ãåäÇ,Ceramics designer,264.752.9725x43184,mhjwb49@hotmail.com,Serbia," 13,455,907.00 Ï.Ú.ş "
ÇİÊßÇÑ ÇáÚÌáÇä,Manufacturing engineer,(708)844-5822x213,mnyb49@yahoo.com,Greece," 4,231,296.00 Ï.Ú.ş "
ÌÇáÇ Âá ÎÖíÑ,Dealer,217-561-6982,ldbgmyrl@yahoo.com,Uzbekistan," 7,341,435.00 Ï.Ú.ş "
ÇáÓíÏ ãÇáß ÇáãÔÇæáÉ,Graphic designer,539.704.0162,jal-bn-lfy@gmail.com,Brazil," 1,655,227.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ İÑÍÇä Èä áÇÏä,Sport and exercise psychologist,001-716-772-2922x910,hydr31@hotmail.com,Tonga," 11,986,532.00 Ï.Ú.ş "
ÚÇßİ ÇáÌİÇáí,Psychotherapist,(230)501-4813,lshysdwh@hotmail.com,Belarus," 11,025,808.00 Ï.Ú.ş "
áæÑíä Âá ŞÕíÑ,"Librarian, academic",782.948.7668,hsynal-lshykh@gmail.com,Russian Federation," 10,796,964.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÌæÇä Âá ÚæÇÖ,Automotive engineer,(700)496-8176,hjrlyth@yahoo.com,Bangladesh," 720,314.00 Ï.Ú.ş "
ÃÍãÏ ÇáÏÈÇÛ,Education administrator,+1-302-836-9445x5997,qnwljfly@gmail.com,Tuvalu," 5,499,556.00 Ï.Ú.ş "
ÇáãåäÏÓ ÕÇÍÈ ßÇäæ,Retail merchandiser,3052613113,mhnmswd@yahoo.com,Mayotte," 5,271,044.00 Ï.Ú.ş "
ÎÇáÏí ÇáÚŞíá,Medical laboratory scientific officer,257-574-9134,khldknw@gmail.com,Oman," 7,795,688.00 Ï.Ú.ş "
ÇáÓíÏ ãõÚÊÒ ÇáÎÑÇİí,Podiatrist,4124771420,tyfal-myd@hotmail.com,Tonga," 11,753,909.00 Ï.Ú.ş "
ÇáÏßÊæÑ ËÑæÊ Âá ÚÇíÖ,Oceanographer,467.275.4887,pal-sltn@gmail.com,Ireland," 9,567,244.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÂáÇÁ ßÇäæ,Broadcast presenter,701-410-2809,lshyryf@gmail.com,Falkland Islands (Malvinas)," 8,987,858.00 Ï.Ú.ş "
ÇáãåäÏÓÉ äÇåÏ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Patent examiner,911.458.3770,khlyfljbr@yahoo.com,Dominican Republic," 7,299,947.00 Ï.Ú.ş "
ÚÈÏ ÇáãÌíÏ ÈŞÔÇä,Public house manager,577.905.5971,mdlynal-lskry@yahoo.com,Guernsey," 10,004,663.00 Ï.Ú.ş "
ÂíÇÊ Âá ÚØİÉ,"Psychologist, counselling",-2640,xlhjr@gmail.com,Burkina Faso," 4,356,467.00 Ï.Ú.ş "
İÏÇÁ ÔÑÈÊáí,Diplomatic Services operational officer,001-493-738-0573x440,hjr90@hotmail.com,Cyprus," 4,380,014.00 Ï.Ú.ş "
äÇÌí Âá Úáí,Product designer,+1-348-649-5937x5010,knwryfl@yahoo.com,Moldova," 3,108,932.00 Ï.Ú.ş "
ÈäÇä Âá ÓáØÇä,"Secretary, company",+1-311-988-1293x50681,zkryal-lskry@hotmail.com,Kiribati," 873,364.00 Ï.Ú.ş "
ÖíÇÁ Âá Úáí,"Therapist, music",+1-444-672-2719x4055,aal-mhmd-bn-ly-bn-jmz@hotmail.com,Georgia," 3,875,253.00 Ï.Ú.ş "
Óáíã Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Seismic interpreter,-11457,shtr14@gmail.com,Cambodia," 14,385,211.00 Ï.Ú.ş "
ÈíÓÇä Âá ÍÓíä,Chiropractor,9865265542,hshmal-sltn@hotmail.com,Cyprus," 4,372,737.00 Ï.Ú.ş "
ÇáÂäÓÉ íÇÑÇ Âá ãŞØÉ,Barrister,907.955.1244,hmyd73@yahoo.com,Switzerland," 2,751,265.00 Ï.Ú.ş "
ÇáÓíÏÉ ÏÚÇÁ Âá ÓÚæÏ,Claims inspector/assessor,+1-329-440-4677x602,kb-lkhyl@hotmail.com,French Guiana," 6,824,248.00 Ï.Ú.ş "
ÇáÂäÓÉ ÑíÊÇÌ Âá ÌÚİÑ,Geophysicist/field seismologist,(671)478-0087x348,nbqshn@hotmail.com,Dominica," 10,943,892.00 Ï.Ú.ş "
áæÌíä Âá ÕİæÇä,"Producer, radio",275.644.6282x6577,mlhjr@hotmail.com,Mozambique," 9,201,073.00 Ï.Ú.ş "
ÇáãåäÏÓ ÚÒÇÒ Âá ŞÕíÑ,IT sales professional,(482)690-7062x958,al-mydsjd@gmail.com,Palestinian Territory," 3,401,783.00 Ï.Ú.ş "
ÃÑæì Âá ÇáÚÓßÑí,Aeronautical engineer,+1-286-254-4436x50881,ftwhlqyl@hotmail.com,Indonesia," 11,836,930.00 Ï.Ú.ş "
ÇáãåäÏÓÉ áæÑÇ Âá Úáí,Training and development officer,998.916.2700,jrwhal-lshykh@yahoo.com,Qatar," 4,071,498.00 Ï.Ú.ş "
ÇáãåäÏÓ äÓíÈ ÇáÚÌáÇä,Mechanical engineer,+1-398-278-7264x00195,pal-ly@yahoo.com,Turkmenistan," 2,183,934.00 Ï.Ú.ş "
ÇáÓíÏÉ İÑÇÊ ÇáÏÈÇÛ,Immigration officer,(897)906-6055x8473,frjal-rfy@gmail.com,Reunion," 5,458,394.00 Ï.Ú.ş "
ÇáÓíÏ ãÔÑŞ ÇáÍßíÑ,Recycling officer,+1-411-357-6278x8930,fdljln@gmail.com,Mayotte," 1,605,023.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ æÖøÇÍ ÇáÌİÇáí,"Accountant, chartered public finance",(990)307-9550,mlhm11@hotmail.com,Guyana," 13,287,515.00 Ï.Ú.ş "
ÑæÚÉ Âá ÎÖíÑ,Pensions consultant,348-837-0778,zhr01@hotmail.com,Malawi," 10,176,786.00 Ï.Ú.ş "
ÇáÂäÓÉ áæáíÇ Âá ãÚíÖ,Drilling engineer,6636629213,mwywd37@yahoo.com,Panama," 6,371,687.00 Ï.Ú.ş "
ÓÇåÏ ÇáãÔÇæáÉ,"Scientist, water quality",6135498430,yqwb44@hotmail.com,Sri Lanka," 1,661,444.00 Ï.Ú.ş "
ßÑãÉ Âá ÓáØÇä,Radiation protection practitioner,(516)964-7622,al-myddhy@yahoo.com,Nicaragua," 12,845,509.00 Ï.Ú.ş "
ãæÓì ãåäÇ,Public relations officer,499-748-7162,syf-ldwynal-swd@hotmail.com,Bulgaria," 3,990,481.00 Ï.Ú.ş "
ÈíáÓÇä Âá ÚÇíÖ,Furniture designer,272-555-5431x186,tshrbtly@gmail.com,Vanuatu," 744,290.00 Ï.Ú.ş "
ÇáÓíÏÉ ÌãíáÉ Âá ÚæÇÖ,Camera operator,+1-290-886-0388x5070,sfynlmhn@gmail.com,Tuvalu," 11,341,478.00 Ï.Ú.ş "
ÍŞøí Èä áÇÏä,"Administrator, education",253.853.2130x3477,cal-swd@hotmail.com,Guatemala," 6,611,710.00 Ï.Ú.ş "
ÇáÓíÏÉ ÑíÊÇÌ ÇáÍÌÇÑ,Pharmacologist,001-998-646-7601x15286,llynslymn@gmail.com,Guyana," 13,110,802.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÑæÈíä Âá ÇáÔíÎ,Hydrogeologist,001-797-697-0540,rjb51@gmail.com,Guam," 981,128.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ßÑãÉ ÇáÌİÇáí,Financial manager,+1-688-279-9169x9573,nb-lkhyl@hotmail.com,Sudan," 8,117,068.00 Ï.Ú.ş "
ÚÑİÇÊ ÇáãåíÏÈ,"Research officer, government",752.203.6187x562,jmhn@gmail.com,Honduras," 2,411,799.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÖíÇÁ Âá Èä ÙÇİÑ,"Engineer, building services",905-507-1280,oal-bn-lfy@gmail.com,Croatia," 12,637,975.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÑÇÊÈ Âá ŞÕíÑ,Air traffic controller,811-443-9945x248,rwwf72@yahoo.com,Afghanistan," 6,005,449.00 Ï.Ú.ş "
ÍÓä Âá ÍÓíä,Aid worker,+1-829-674-2176x77657,mhntyw@gmail.com,Lebanon," 8,652,791.00 Ï.Ú.ş "
ŞÕí ÇáÏÈÇÛ,Graphic designer,264-730-9052,fsyljdyr@yahoo.com,Bahrain," 7,594,840.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚÈÏ ÇáÑøÍãä ÇáãåäÇ,"Pharmacist, hospital",+1-969-305-9830x7014,mnswr56@yahoo.com,Moldova," 492,316.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÈåíÉ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Child psychotherapist,723.584.7813x50838,dal-jfr@yahoo.com,Swaziland," 8,880,591.00 Ï.Ú.ş "
ÇáÂäÓÉ ßÇãáÉ ßÇäæ,Operational investment banker,9396206107,eljfly@hotmail.com,Saint Vincent and the Grenadines," 14,693,550.00 Ï.Ú.ş "
ÌãÇä ÇáÚÌáÇä,Chiropodist,403-692-1334x36846,clmgwl@hotmail.com,Tuvalu," 8,506,639.00 Ï.Ú.ş "
åãÇã Âá ÍÓíä,"Surveyor, commercial/residential",900.524.9892x7762,al-lskrybd-llh@yahoo.com,Afghanistan," 12,059,763.00 Ï.Ú.ş "
İæÒí Âá ãÚíÖ,Building services engineer,327-268-9660x42201,zkylmhydb@yahoo.com,North Macedonia," 11,274,505.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚÈÏ ÇáÍİíÙ İÕíá,"Teacher, secondary school",+1-599-465-2310x8033,zhrlmhn@hotmail.com,Paraguay," 371,574.00 Ï.Ú.ş "
åÇÌÑ İÕíá,Naval architect,001-666-323-3963x354,jknw@gmail.com,Pakistan," 10,237,651.00 Ï.Ú.ş "
ãÇíÇ ãåäÇ,"Teacher, English as a foreign language",001-773-465-3103x4212,tryfb-lkhyl@hotmail.com,Kuwait," 3,000,190.00 Ï.Ú.ş "
ÇáÓíÏ ËŞíİ ãåäÇ,Hydrogeologist,001-267-445-2537x259,xknw@yahoo.com,Thailand," 11,315,742.00 Ï.Ú.ş "
ÇáÓíÏÉ äÇÏíå ÍÌÇÑ,Metallurgist,731.255.6220x938,thsynal-qsyr@gmail.com,Monaco," 14,239,093.00 Ï.Ú.ş "
ÇáÓíÏ İÎÑ Âá ÎÖíÑ,"Surveyor, commercial/residential",(441)817-8466,tmr60@hotmail.com,Cook Islands," 8,536,693.00 Ï.Ú.ş "
ÏÇäÉ ÇáÔÇíÚ,Communications engineer,001-295-283-2322x700,ldbgdny@gmail.com,Somalia," 3,631,964.00 Ï.Ú.ş "
ÏÇäíÉ ÇáãÛÇæáÉ,Community arts worker,963.525.6245x21118,hshm61@gmail.com,Armenia," 4,337,227.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ãßÑøã ÈŞÔÇä,"Exhibitions officer, museum/gallery",937.911.5670x4410,yzydmhn@gmail.com,Lesotho," 14,863,544.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÌáÇÁ Âá ÎÖíÑ,Conference centre manager,(746)835-2533x948,mr78@gmail.com,Sao Tome and Principe," 8,158,546.00 Ï.Ú.ş "
ÇáãåäÏÓÉ İÑÇÊ ÇáÍÌÇÑ,Naval architect,544.795.3646x105,al-rfyzhyr@gmail.com,Slovenia," 13,956,762.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÑÇÌí Âá ÓáØÇä,"Surveyor, mining",5738332512,bdllh23@hotmail.com,Kazakhstan," 706,849.00 Ï.Ú.ş "
äÇÚã ÇáÚÌáÇä,Advertising copywriter,247.232.2235x4802,al-mydhmm@yahoo.com,Brunei Darussalam," 6,130,431.00 Ï.Ú.ş "
ÈåÌÉ ÇáãåíÏÈ,Accounting technician,001-839-961-3502,shrbtlybd-lgny@gmail.com,Costa Rica," 10,094,859.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÈÔÑì Âá ÚæÇÖ,Film/video editor,(807)310-3655,zmy69@gmail.com,Falkland Islands (Malvinas)," 10,287,414.00 Ï.Ú.ş "
ÚãíÑ Âá Úáí,Financial manager,377-596-4785x1234,frzdq15@yahoo.com,Fiji," 12,355,310.00 Ï.Ú.ş "
ÈÊáÇÁ Âá ÎÖíÑ,Aid worker,(576)476-8840x75382,eldbg@gmail.com,Japan," 14,326,597.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÛÇäã ÇáÌİÇáí,Office manager,997.271.1647,myr23@hotmail.com,Heard Island and McDonald Islands," 10,790,158.00 Ï.Ú.ş "
ãåÏí Âá ÕİæÇä,"Journalist, magazine",359.457.3389,nsry91@yahoo.com,Libyan Arab Jamahiriya," 1,065,069.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÓáÇİ ãåäÇ,Location manager,(362)568-3168,zhyal-sltn@hotmail.com,Gibraltar," 5,768,388.00 Ï.Ú.ş "
ÍáÇ ÃÈÇ ÇáÎíá,"Production designer, theatre/television/film",-1387,al-tfkhldwn@hotmail.com,Tokelau," 3,423,044.00 Ï.Ú.ş "
ãõäĞÑ ÍÌÇÑ,"Psychologist, prison and probation services",001-537-709-9301x03652,nfdhlqyl@yahoo.com,Mongolia," 10,992,174.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÓÈÃ ÇáÏÈÇÛ,"Engineer, chemical",(267)277-2548x401,dhky57@yahoo.com,Hungary," 7,362,849.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÊÇáíÇ Âá ÚØİÉ,Careers information officer,-11066,al-mhmd-bn-ly-bn-jmznsyb@gmail.com,Poland," 1,139,961.00 Ï.Ú.ş "
ÇÕíá Âá ÇáÚÓßÑí,Fast food restaurant manager,001-930-386-2844x752,sbyhal-sfwn@gmail.com,Liberia," 2,472,971.00 Ï.Ú.ş "
ÔÚÈÇä Âá ÚØİÉ,Illustrator,769-984-3620,al-mqtzyn@yahoo.com,Qatar," 9,508,938.00 Ï.Ú.ş "
İÏÇÆí ÇáÚŞíá,Chief of Staff,634.207.9986x52049,ljflynwrh@hotmail.com,New Caledonia," 13,736,275.00 Ï.Ú.ş "
ßáíã ãåäÇ,"Nurse, children's",458.676.6054x636,bhr69@gmail.com,Botswana," 8,122,355.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÂíÇÊ Âá ãŞØÉ,Higher education lecturer,434-763-6714x61294,bd-lgfwrldbg@yahoo.com,Zambia," 12,110,978.00 Ï.Ú.ş "
ÏÇÑíä Âá ÇáÔíÎ,Colour technologist,5639321131,mrwljbr@gmail.com,Latvia," 12,728,207.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ äæÑå ÇáÚáíÇä,Field trials officer,001-442-213-5128x2404,mwmn93@yahoo.com,Macao," 14,307,339.00 Ï.Ú.ş "
æÓÇã Âá ÇáÚÓßÑí,Actuary,325-293-1508x2976,khldy31@yahoo.com,Bouvet Island (Bouvetoya)," 10,156,766.00 Ï.Ú.ş "
ÇáãåäÏÓÉ äæÑå Âá ÓÚæÏ,Database administrator,2068542286,llyndhy@gmail.com,Malta," 3,991,171.00 Ï.Ú.ş "
ÑÌÇÁ Âá ãÚíÖ,Bookseller,(447)363-7160,mhngmd@hotmail.com,Tuvalu," 13,537,323.00 Ï.Ú.ş "
ÇáÓíÏÉ Ìäì ÇáÍßíÑ,Patent examiner,+1-539-432-1122x981,rsmal-ly@gmail.com,Haiti," 13,888,948.00 Ï.Ú.ş "
ÇáÓíÏÉ áíÓÇÁ ÇáÍÌÇÑ,Environmental education officer,823.695.0045,hdyal-myd@yahoo.com,Falkland Islands (Malvinas)," 6,674,309.00 Ï.Ú.ş "
ÑÇÖí ÇáÌÇÈÑ,Garment/textile technologist,796.547.3826x477,dnyal-jfr@gmail.com,Vanuatu," 4,062,891.00 Ï.Ú.ş "
ãÑíã ÇáãåäÇ,"Nurse, learning disability",+1-662-632-3384x69724,mqdd44@gmail.com,Saint Barthelemy," 3,376,076.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÌíáÇä ÇáãåäÇ,Armed forces training and education officer,390.355.0078,jfr75@hotmail.com,Armenia," 12,857,292.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÚÈÏ ÇáÑøÔíÏ ÔÑÈÊáí,"Physicist, medical",748-929-6171x11226,rjyal-hsyn@yahoo.com,Qatar," 10,636,047.00 Ï.Ú.ş "
ÚÈÏ ÇáÎÇáŞ ÇáãÛÇæáÉ,Mudlogger,+1-575-927-9669x38701,wsl74@gmail.com,Dominican Republic," 8,178,925.00 Ï.Ú.ş "
ÇáãåäÏÓ ŞÏÑí Âá ŞÕíÑ,Planning and development surveyor,(440)251-9242,xal-myd@hotmail.com,Mauritius," 1,863,229.00 Ï.Ú.ş "
ÙÑíİ Âá ÇáÔíÎ,Geochemist,618.809.9257,al-lyfth@hotmail.com,Sri Lanka," 1,380,604.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚÈÏ ÇáÛäí ÇáÑÇÔÏ,Diagnostic radiographer,5222035848,ldbgfwd@gmail.com,Saint Kitts and Nevis," 5,251,467.00 Ï.Ú.ş "
ÔÑíİ ÇáÌÇÈÑ,Economist,650-416-3209x13192,mkwy35@yahoo.com,France," 11,546,747.00 Ï.Ú.ş "
ÇáÏßÊæÑ ãØÇæÚ ÇáÚŞíá,"Engineer, structural",001-335-401-5530x98751,hmydal-mhmd-bn-ly-bn-jmz@yahoo.com,Cameroon," 14,029,003.00 Ï.Ú.ş "
ÇáÓíÏÉ áíÓÇÁ ÇáÚáíÇä,Fish farm manager,297.221.8887,jal-qsyr@gmail.com,Andorra," 10,029,128.00 Ï.Ú.ş "
íÇŞæÊ ÇáÍßíÑ,"Radiographer, diagnostic",(681)916-0701x9201,yldbg@yahoo.com,Saint Vincent and the Grenadines," 13,737,060.00 Ï.Ú.ş "
ÓÌÇ ÇáÑÇÔÏ,Tourist information centre manager,+1-447-436-4090x488,val-lshykh@yahoo.com,Puerto Rico," 11,168,297.00 Ï.Ú.ş "
ÔÈáí Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,"Teacher, special educational needs",2897161705,ldbgyqwt@hotmail.com,Albania," 11,297,316.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÌæÇä Âá ÕİæÇä,Airline pilot,3506543629,rsmy91@yahoo.com,Malawi," 13,979,785.00 Ï.Ú.ş "
áíÇä Âá ŞÕíÑ,"Merchandiser, retail",+1-903-925-7941x17722,lhkyrwsf@hotmail.com,Philippines," 3,111,563.00 Ï.Ú.ş "
ÇİÊßÇÑ Âá ÓÚæÏ,Telecommunications researcher,(914)746-9141,al-ydsrwr@yahoo.com,Uruguay," 3,356,978.00 Ï.Ú.ş "
ãÍãøÏ Èä áÇÏä,Hydrologist,835.965.7944,mhndwwd@hotmail.com,Switzerland," 2,596,801.00 Ï.Ú.ş "
ÛÇÒí ÇáÌİÇáí,"Geologist, wellsite",+1-319-550-2592x5793,rstmljbr@hotmail.com,Bangladesh," 503,534.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÎíÑí Âá Èä ÙÇİÑ,"Buyer, retail",358.512.2689x10985,mntsr43@yahoo.com,Timor-Leste," 5,631,480.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÔÏøÇÏ Âá Èä áÇİí,Estate agent,001-388-462-6463,jdyr74@yahoo.com,Algeria," 10,823,320.00 Ï.Ú.ş "
ãÇÒä ÍÌÇÑ,Health visitor,(538)854-4472x220,ilhkyr@yahoo.com,Tunisia," 13,010,447.00 Ï.Ú.ş "
ÌæÇä Âá ÓáØÇä,Interior and spatial designer,976.783.4762x640,shlal-mhmd-bn-ly-bn-jmz@gmail.com,Cape Verde," 3,246,201.00 Ï.Ú.ş "
ÔÇÏä Âá ÇáÔíÎ,"Designer, television/film set",(433)705-3514,ulshy@gmail.com,Azerbaijan," 7,369,124.00 Ï.Ú.ş "
äÔæÉ Âá ÚæÇÖ,Acupuncturist,+1-376-739-1542x61885,smy55@hotmail.com,Eritrea," 10,445,364.00 Ï.Ú.ş "
ÇáãåäÏÓÉ äæÑå ÇáÔÇíÚ,"Loss adjuster, chartered",(297)887-7256,xal-tf@hotmail.com,Croatia," 11,376,701.00 Ï.Ú.ş "
ÇáÏßÊæÑ äÏíã Âá Èä áÇİí,Video editor,4433635451,hylbn-ldn@gmail.com,Lesotho," 12,034,125.00 Ï.Ú.ş "
ÇáÂäÓÉ ÑíãÇä Âá ÎÖíÑ,Occupational therapist,(535)470-6531,eal-jfr@hotmail.com,Colombia," 6,829,218.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ŞÇÆÏ ÇáãåíÏÈ,Garment/textile technologist,4675631184,al-khdyrgzy@hotmail.com,Bangladesh," 6,512,810.00 Ï.Ú.ş "
ÇáÓíÏÉ ßÇãáÉ ÇáÌİÇáí,Forensic scientist,+1-414-778-0358x41317,zal-rfy@gmail.com,Liechtenstein," 2,060,024.00 Ï.Ú.ş "
ÑæÇÁ Âá Èä áÇİí,Make,+1-209-263-7864x44073,lmshwlwyl@hotmail.com,Guam," 13,209,277.00 Ï.Ú.ş "
ÇáãåäÏÓ ÚØÇÁ Âá ÚæÇÖ,"Scientist, research (physical sciences)",(812)397-9170x85815,snmal-lshykh@yahoo.com,Afghanistan," 5,124,822.00 Ï.Ú.ş "
ÏÚÇÁ ÇáÚáíÇä,"Journalist, magazine",(696)937-6529x4437,mnsyal-rfy@hotmail.com,Luxembourg," 1,762,729.00 Ï.Ú.ş "
ÇáãåäÏÓ ãÕØİì ÇáÏÈÇÛ,Charity fundraiser,4262343670,nymllyn@yahoo.com,Solomon Islands," 5,097,150.00 Ï.Ú.ş "
ÇáÓíÏ ØÑíİ ãåäÇ,Equality and diversity officer,580-744-8286x13042,vlmhydb@hotmail.com,Thailand," 3,243,943.00 Ï.Ú.ş "
İÇÑÓ İÕíá,IT sales professional,761-293-7021x545,oknw@yahoo.com,Uruguay," 11,452,280.00 Ï.Ú.ş "
ÇáÏßÊæÑ ËŞíİ Âá ÚØİÉ,"Scientist, water quality",(305)437-0795,sjlhkyr@hotmail.com,Argentina," 6,591,115.00 Ï.Ú.ş "
ÒßíÉ Âá ÚÇíÖ,Control and instrumentation engineer,001-577-675-4958x665,lrshdhnfy@yahoo.com,Christmas Island," 419,201.00 Ï.Ú.ş "
ÇÚÊãÇÏ ÇáÎÑÇİí,"Administrator, local government",556.397.2131,lhkyrqdry@gmail.com,Belize," 10,715,165.00 Ï.Ú.ş "
ãÑÇÏ Âá Èä áÇİí,International aid/development worker,646-905-9002x6057,db-lkhyl@gmail.com,Germany," 6,525,560.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ äÇÑÏíä Âá ÚØİÉ,Research scientist (maths),420-890-2315,thrwt71@hotmail.com,Tuvalu," 6,745,762.00 Ï.Ú.ş "
æİíŞ ÇáÚáíÇä,Financial controller,+1-782-916-4667x7798,jfr80@hotmail.com,Hungary," 4,529,673.00 Ï.Ú.ş "
Ìãíá ÍäÈæáí,"Designer, ceramics/pottery",(773)335-2612x482,ual-mhmd-bn-ly-bn-jmz@gmail.com,Saint Barthelemy," 12,833,456.00 Ï.Ú.ş "
ÇáãåäÏÓ Øå Âá ÑİíÚ,Police officer,779-757-9663x2204,sdhbn-ldn@hotmail.com,New Caledonia," 9,899,209.00 Ï.Ú.ş "
ÖíÇÁ Âá ÚØİÉ,"Investment banker, operational",(759)670-5682x96506,fhnbwly@gmail.com,Puerto Rico," 7,167,346.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ íÇÑÇ ÇáÏÈÇÛ,Clinical molecular geneticist,985.415.0824x6667,ljbrtywb@yahoo.com,Trinidad and Tobago," 14,041,404.00 Ï.Ú.ş "
ÈáŞíÓ Èä áÇÏä,Chief Marketing Officer,424.610.1226,zky49@hotmail.com,Poland," 13,129,190.00 Ï.Ú.ş "
ÔÇÏä ÈŞÔÇä,"Conservator, museum/gallery",(275)609-7525,llynnjyb@yahoo.com,Reunion," 8,332,839.00 Ï.Ú.ş "
ãÇÏáíä ÇáãÔÇæáÉ,Adult nurse,(347)998-4627,njwnal-bn-lfy@yahoo.com,Malawi," 13,768,456.00 Ï.Ú.ş "
ÇáÓíÏ ÑãÍí ÇáãåäÇ,Teaching laboratory technician,(963)490-4653x81247,lfyfal-hsyn@yahoo.com,Tanzania," 11,343,385.00 Ï.Ú.ş "
ßäÇÑ ÇáÚÌáÇä,Computer games developer,985.328.7151x9844,thqb96@hotmail.com,Rwanda," 9,586,542.00 Ï.Ú.ş "
åäÇÏí Âá ÚæÇÖ,Software engineer,(971)887-2847,jylnljln@gmail.com,Kyrgyz Republic," 6,160,818.00 Ï.Ú.ş "
ÇáÓíÏ ÙåíÑ Âá Èä ÙÇİÑ,Minerals surveyor,632.330.1096x72068,zryf59@gmail.com,Canada," 13,251,808.00 Ï.Ú.ş "
ÙÇİÑ ÃÈæ ÏÇææÏ,Cytogeneticist,+1-794-702-3098x91729,wlyd77@yahoo.com,Jersey," 5,983,291.00 Ï.Ú.ş "
